notice_id,title,content_type,list_status,detail_status,asset_status,final_status,failure_reason,attempt_count,first_seen_at,last_attempt_at
358715,体制转外贸｜ “职”点迷津校友分享会（第21期）,unknown,ok,ok,none,processed,,1,2026-09-18T22:19:10+08:00,2026-09-18T22:19:15+08:00
358700,秋招活动总览| 秋季用人单位宣讲会及招聘会安排表,unknown,ok,ok,none,processed,,1,2026-09-18T22:19:10+08:00,2026-09-18T22:19:15+08:00
358652,9.17 | “百万英才汇南粤”2026年N城联动秋季招聘活动（中央民族大学专场）,poster,ok,ok,ok,processed,,1,2026-09-18T22:19:10+08:00,2026-09-18T22:19:15+08:00
358651,9.15 | 智汇草原·才聚呼伦贝尔｜呼伦贝尔市2026秋季招聘会民大专场,unknown,ok,ok,none,processed,,1,2026-09-18T22:19:10+08:00,2026-09-18T22:19:15+08:00
358402,关于2026届毕业生申报就业奖励的通知,text,ok,ok,none,processed,,1,2026-09-18T22:19:10+08:00,2026-09-18T22:19:15+08:00
358366, 活动总览| 2026年秋季学期职业指导活动明细,unknown,ok,ok,none,processed,,1,2026-09-18T22:19:10+08:00,2026-09-18T22:19:15+08:00
357480,活动预告| 6月27日 互联网大厂求职破局沙龙,poster,ok,ok,ok,processed,,1,2026-09-18T22:19:10+08:00,2026-09-18T22:19:15+08:00
356378,“职”点迷津，筑梦起航（海马职加特别期）,text,ok,ok,none,processed,,1,2026-09-18T22:19:10+08:00,2026-09-18T22:19:15+08:00
355418,“职”点迷津，筑梦起航（第十八期）李香兰学姐的职场进阶之路,unknown,ok,ok,none,processed,,1,2026-09-18T22:19:10+08:00,2026-09-18T22:19:15+08:00
354967,活动总览| 2026年春季学期职业指导活动,unknown,ok,ok,none,processed,,1,2026-09-18T22:19:10+08:00,2026-09-18T22:19:15+08:00
354947,活动预告| 3月13日 教育行业面试工作坊,poster,ok,ok,ok,processed,,1,2026-09-18T22:19:10+08:00,2026-09-18T22:19:15+08:00
354093,12.24校园招聘会 | “京彩就业”中央民族大学2026届毕业生冬季综合专场招聘会,text,ok,ok,none,processed,,1,2026-09-18T22:19:10+08:00,2026-09-18T22:19:15+08:00
353908,关于公布云南省2026年面向选定高校招录优秀毕业生笔试成绩等有关事项的通知,text,ok,ok,none,processed,,1,2026-09-18T22:19:10+08:00,2026-09-18T22:19:15+08:00
353888,讲座预告| 12月11日 公务员考试面试讲座,poster,ok,ok,ok,processed,,1,2026-09-18T22:19:10+08:00,2026-09-18T22:19:15+08:00
353524,讲座预告| 10月27日 公务员考试讲座《考点精讲公共课》,poster,ok,ok,ok,processed,,1,2026-09-18T22:19:10+08:00,2026-09-18T22:19:15+08:00
353116,职属新传 | 中央民族大学新闻与传播学院2025年度校园招聘双选会,unknown,ok,ok,none,processed,,1,2026-09-18T22:19:10+08:00,2026-09-18T22:19:15+08:00
352740,讲座预告| 10月22日 信息工程学院求职讲座《新质发展·职等你来》,poster,ok,ok,ok,processed,,1,2026-09-18T22:19:10+08:00,2026-09-18T22:19:15+08:00
352557,活动预告| 10月12日 北京选调笔试模拟考试,poster,ok,ok,ok,processed,,1,2026-09-18T22:19:10+08:00,2026-09-18T22:19:15+08:00
