路线,样本,字段,抽取输出,金标准,AI预标,理由,人工确认
ocr,P01,专业,应用统计 | 法律(法学),应用统计 | 法律（法学）,真错❌,输出与金标准无包含关系（逐字要求）,
ocr,P01,岗位,滨州市阳信县发改局 | 潍坊市寒亭区司法局,阳信县发改局 | 寒亭区司法局,等价✅,金标准⊆输出（简称/全称细化）,
ocr,P02,学历,本科 | None,本科 | 硕士研究生,真错❌,输出与金标准无包含关系（逐字要求）,
ocr,P02,岗位,险服务局） | 青海省教育厅,青海省人力资源和社会保障厅 | 青海省教育厅,真错❌,输出与金标准无包含关系（逐字要求）,
ocr,P03,学历,本科 | None,本科 | 硕士研究生,真错❌,输出与金标准无包含关系（逐字要求）,
ocr,P03,专业,经济学 | None,国际经济与贸易 | 电子信息,真错❌,输出与金标准无包含关系（逐字要求）,
ocr,P03,岗位,云南省昆明市委组织部 | 云南省昆明市盘龙区金辰街道办,昆明市委组织部 | 盘龙区金辰街道办,等价✅,金标准⊆输出（简称/全称细化）,
ocr,P04,学历,本科 | 硕士,本科 | 硕士研究生,等价✅,金标准⊆输出（简称/全称细化）,
ocr,P04,专业,化学 | 应用统计,中国与周边国家关系史实验班 | 应用统计专业,真错❌,输出与金标准无包含关系（逐字要求）,
ocr,P04,城市,合山 | None,来宾 | None,真错❌,另一行政实体或未识别,
ocr,P04,岗位,中共来宾市合山市委组织部 | 广西壮族自治区统计局,合山市委组织部 | 广西壮族自治区统计局,等价✅,金标准⊆输出（简称/全称细化）,
ocr,P05,学历,None | None,硕士研究生 | 硕士研究生,真错❌,输出与金标准无包含关系（逐字要求）,
ocr,P05,专业,学科教学（英语） | 新闻与传播,学科教学（英语） | 新闻与传播专业,真错❌,输出与金标准无包含关系（逐字要求）,
ocr,P05,城市,天津 | 米天津,天津 | 天津,等价✅,唯一识别同一城市（±市后缀/更细地址）,
ocr,P05,岗位,天津市河北区王串场街道 | 米天津市津南区农业农村委员会,河北区王串场街道公务员 | 津南区农业农村委员会,等价✅,金标准⊆输出（简称/全称细化）,
