样本ID,图像SHA-256,金标准届别,金标准学历,金标准专业,金标准城市,金标准岗位,OCR届别,OCR学历,OCR专业,OCR城市,OCR岗位,OCR完整,OCR秒,多模态届别,多模态学历,多模态专业,多模态城市,多模态岗位,多模态完整,多模态秒,单张成本,备注,标注人,OCR样本ID,多模态样本ID,OCR年级,OCR学院,多模态年级,多模态学院
P01,c33d4c220c92eb093ccc72a1a5c6db7a024d5c51b12123e0c708c27a1551a0f9,2024届,硕士,应用统计,滨州,阳信县发改局,1,1,0,1,0,0,66.68,1,1,0,0,0,0,8.18,,,annotator-B,P01,P01,1,1,0,1
P02,e24e643770f2a297edd3c6e045d25389f7db7bbceeaa663324834136e47b2e6b,2024届,本科,信息与计算科学,null,青海省人力资源和社会保障厅,1,0,1,,0,,64.89,1,0,1,,1,,8.47,,,annotator-B,P02,P02,1,0,0,1
P03,cd9554f43f9653f691a580b5b95820a207d221539542992f0247e65085e46da5,2024届,本科,国际经济与贸易,昆明,昆明市委组织部,1,0,0,1,0,0,63.36,1,0,0,0,0,0,9.73,,,annotator-B,P03,P03,1,0,0,1
P04,677ce946aa3b2a3ab408f468814eec39ae0695c83407e055fd30c0f414903a22,2024届,本科,中国与周边国家关系史实验班,来宾,合山市委组织部,1,0,0,0,0,0,471.68,1,1,0,0,0,0,8.49,,,annotator-B,P04,P04,1,0,1,1
P05,8743ed07a24277173501bf5774261eab9e535f5925b02898ba4de04bc68161cb,2024届,硕士研究生,学科教学（英语）,天津,河北区王串场街道公务员,1,0,0,0,0,0,84.91,1,0,0,0,0,0,11.67,,,annotator-B,P05,P05,1,1,0,1
P06,dc1fcb653276ab47fc8a280196607085d1500ca6fa3951b0ec2d2fac43ce34ac,2024届,硕士研究生,法律（法学）,郑州,郑州市司法局,1,0,1,0,0,0,85.65,1,0,1,0,1,0,9.62,,,annotator-B,P06,P06,1,1,0,1
P07,1e74b1df36d2626c5664a478f9b0d59dcea8530be6b91d6983cd0104611ce1fb,2024届,本科,文物与博物馆学,石嘴山,惠农区红果子镇人民政府,1,0,0,0,0,0,62.23,1,1,0,0,0,0,7.57,,,annotator-B,P07,P07,1,1,0,1
P08,192b05da923c43ad71276424ed48e778228a8d87f78a7ec29801b738c10526e8,2024届,硕士研究生,文物与博物馆学,株洲,炎陵县鹿原镇三口村党总支书记助理,1,0,0,1,0,0,86.57,1,1,0,0,0,0,11.35,,,annotator-B,P08,P08,1,0,1,1
P09,ef1e062fa12da9d4d22e861dc38bc398da595bd42bb330ce65927378e378cc85,2024届,本科,汉语言文学,晋江,英林镇三欧村村主任助理,1,0,1,0,0,0,88.53,1,1,1,0,0,0,11.58,,,annotator-B,P09,P09,1,0,0,1
P10,e48401634cdcfac6c2f92e4033253eb6cb711c5824fd8d3dff35e6c2cbbfa79f,2024届,本科,汉语言文学,深圳,宝安区新桥街道办,1,0,1,0,0,0,83.81,1,0,0,0,0,0,9.21,,,annotator-B,P10,P10,1,1,1,1
P11,064246b707037fb65dfbf556ad0054926a86b5a1012a7a27c160400a7ae9d8c9,2024届,本科,法学,本溪,本溪市检察院,1,1,0,0,0,0,87.08,1,1,0,1,0,0,8.8,,,annotator-B,P11,P11,1,1,1,1
P12,6130584ed81827c914e0c6910def99d752302b6accdb08209d5fa83363a9d71f,2024届,本科,经济学,吐鲁番,高昌区审计局,1,1,1,1,0,0,81.03,1,1,1,0,0,0,4.91,,,annotator-B,P12,P12,1,1,1,1
P13,9b3bb07375819fb630370894c667843e00bdb1dd65af83c9015f463d04b09df9,2024届,本科,环境科学（中外合作办学）,临汾,临汾市城联社,1,1,0,1,0,0,85.24,1,1,1,0,0,0,11.67,,,annotator-B,P13,P13,1,1,1,1
P14,21aaf2403d71f165d810f95a1247335ba785ed4990cea052ac67ed9a2cefe69c,2024届,本科,行政管理,保定,保定市徐水区财政局,1,0,0,1,0,0,84.26,1,1,1,0,0,0,8.8,,,annotator-B,P14,P14,1,0,0,1
P15,532e3aa1581d56410d295b460f7f650cbb36068d5b207980d9775d683a1ace44,2024届,本科,汉语言文学,石阡,石阡县县委办公室,1,0,1,0,0,0,86.13,1,0,1,0,0,0,9.74,,,annotator-B,P15,P15,1,0,0,1
P16,097bd1924b349df9f00767eb68dfd4b409ef04a3d0384d150e2446d537e0214f,2023届,本科,软件工程,张家口,张家口市卫生健康委员会,1,0,0,1,0,0,86.59,1,1,0,0,0,0,8.89,,,annotator-B,P16,P16,1,0,0,1
P17,1810c0d14b31002ec9e56774e60bf7060e569444115185ab7bb55e84e80ca09d,2023届,硕士研究生,金融学,武汉,武汉市财政局,1,0,1,1,0,0,85.21,1,1,1,0,0,0,10.69,,,annotator-B,P17,P17,1,1,0,1
P18,c7958b9505bd7aac9301b8171d7dc984d74d7f1bae1253cd9999a2acf3e7412c,2024届,本科,法英,南昌,新建区人民政府,1,1,1,1,0,0,86.01,1,1,0,0,0,0,8.5,,,annotator-B,P18,P18,1,1,0,1
P19,130d6a57b214ff4446b5ac00623fe3e2f6b8ef112c29a6b0971b3f9a65236522,2023届,本科,汉语言文学,长治,长治市劳动人事争议仲裁院,1,1,0,1,0,0,88.61,1,1,0,0,0,0,15.21,,,annotator-B,P19,P19,1,1,0,1
P20,36494aaa525a903a7f3c72cdbaced3b777b790119453815575556c972ec9bb7b,2023届,本科,哲学,乌鲁木齐,乌鲁木齐市委统战部,1,1,0,1,1,0,87.16,1,1,1,0,0,0,7.98,,,annotator-B,P20,P20,0,0,0,1
